PMID:
FP (A,1119,1120)
FP (A,6485,6486)
FP (A,9097,9098)
FP (pallid,9382,9388)
FP (phi,9702,9705)
FP (Y,10141,10142)
FP (A,10793,10794)
FP (Ro,11061,11063)
FP (T,11177,11178)
FP (W,11242,11243)
FP (mm2,11926,11929)
FP (A,13376,13377)
FP (cytokine,13477,13485)
FP (ras,13510,13513)
FP (ray,16245,16248)
FP (T,19668,19669)
FP (A,19702,19703)
FP (A,19761,19762)
FP (par,20490,20493)
FP (GH,24646,24648)
FP (kit,24938,24941)
FP (T,26809,26810)
FP (ligand,28491,28497)
FP (dream,28657,28662)
FP (T,29412,29413)
FP (A,31563,31564)
FP (bis,32889,32892)
FP (A,33531,33532)
FP (apex,33752,33756)
FP (cis,33930,33933)
FP (A,34209,34210)
FP (cis,34957,34960)
FP (A,35908,35909)
FP (A,38362,38363)
FP (T,38485,38486)
FP (T,38770,38771)
FP (A,39797,39798)
FP (NGF,40196,40199)
FP (A,41298,41299)
FP (fir,45487,45490)
FP (T,46820,46821)
FP (tap,47137,47140)
FP (R,48760,48761)
FP (sat,48986,48989)
FP (A,48990,48991)
FP (A,51264,51265)
FP (ray,51509,51512)
FP (ligand,52271,52277)
FP (cis,52292,52295)
FP (A,57685,57686)
FP (A,57791,57792)
FP (mer,60140,60143)
FP (A,61326,61327)
FP (A,61847,61848)
FP (A,62312,62313)
FP (A,63073,63074)
FP (E1,63106,63108)
FP (A,63175,63176)
FP (E1,63183,63185)
FP (hemochromatosis,64302,64317)
FP (R,65411,65412)
FP (T,65496,65497)
FP (porphyrin,66821,66830)
FP (porphyrin,66877,66886)
FP (ago,68538,68541)
FP (lobe,71717,71721)
FP (A,72877,72878)
FP (d40,72947,72950)
FP (apo,73212,73215)
FP (apo,73254,73257)
FP (A,75683,75684)
FP (mm2,76370,76373)
FP (sera,77019,77023)
FP (T,77524,77525)
FP (A,77838,77839)
FP (A,80212,80213)
FP (nod,85569,85572)
FP (nod,85649,85652)
FP (gK,87879,87881)
FP (T,88080,88081)
FP (A,89712,89713)
FP (mink,90010,90014)
FP (glucagon,91901,91909)
FP (tip,91993,91996)
FP (AP,92780,92782)
FP (A,95753,95754)
FP (A,96833,96834)
FP (ray,98540,98543)
FP (A,99151,99152)
FP (phosphatase,99265,99276)
FP (p23,99753,99756)
FP (A,99816,99817)
FP (A,100027,100028)
FP (cast,101443,101447)
FP (T,101671,101672)
FP (A,102500,102501)
FP (CD4,105428,105431)
FP (T,107661,107662)
FP (und,107777,107780)
FP (Epo,107869,107872)
FP (Epo,107968,107971)
FP (A,108047,108048)
FP (A,108436,108437)
FP (A,108797,108798)
FP (tip,111136,111139)
FP (A,113686,113687)
FP (T,115300,115301)
FP (A,115304,115305)
FP (ligand,119158,119164)
FP (A,121664,121665)
FP (A,121700,121701)
FP (W,122709,122710)
FP (dilute,122747,122753)
FP (pact,124385,124389)
FP (myc,126670,126673)
FP (A,127191,127192)
FP (T,130372,130373)
FP (A,130673,130674)
FP (R,133002,133003)
FP (R,133022,133023)
FP (A,134826,134827)
FP (A,135531,135532)
FP (A,136542,136543)
FP (R1,136974,136976)
FP (R2,137099,137101)
FP (AHR,137484,137487)
FP (A,138562,138563)
FP (A,139705,139706)
FP (CBF,139919,139922)
FP (CBF,139942,139945)
FP (rho,139959,139962)
FP (rho,140009,140012)
FP (EPO,140840,140843)
FP (A,140934,140935)
FP (A,141543,141544)
FP (tip,144872,144875)
FP (W,144960,144961)
FP (A,144964,144965)
FP (Z,144966,144967)
FP (A,145133,145134)
FP (A,146607,146608)
FP (D1,146938,146940)
FP (AF,148161,148163)
FP (Ro,148424,148426)
FP (Ro,148470,148472)
FP (A,148771,148772)
FP (A,149261,149262)
FP (HA,149848,149850)
FP (phi,149954,149957)
FP (A,150586,150587)
FP (CAP,151618,151621)
FP (ALK,151743,151746)
FP (A,152457,152458)
FP (alpha1,154536,154542)
FP (A,154906,154907)
FP (tip,158620,158623)
FP (A,162326,162327)
FP (A,162356,162357)
FP (A,162414,162415)
FP (A,162465,162466)
FP (A,163605,163606)
FP (fur,163894,163897)
FP (La,168097,168099)
FP (A,168140,168141)
FP (A,168287,168288)
FP (A,168299,168300)
FP (A,169345,169346)
FP (cis,169656,169659)
FP (L1,171605,171607)
FP (L1,171619,171621)
FP (A,171820,171821)
FP (CBF,171956,171959)
FP (T,172856,172857)
FP (T,173886,173887)
FP (A,176311,176312)
FP (A,177191,177192)
FP (A,178540,178541)
FP (A,180200,180201)
FP (CAK,182003,182006)
FP (Cdc2,182057,182061)
FP (A,182370,182371)
FP (A,183426,183427)
FP (A,184772,184773)
FP (AFP,185376,185379)
FP (Cas,185810,185813)
FP (HD,185903,185905)
FP (R,186086,186087)
FP (ray,187221,187224)
FP (A,187496,187497)
FP (A,187510,187511)
FP (ray,189030,189033)
FP (A,192330,192331)
FP (A,194706,194707)
FP (Q,195487,195488)
FP (A,195907,195908)
FP (T,196159,196160)
FP (scar,197055,197059)
FP (E2,197222,197224)
FP (A,198423,198424)
FP (A,198724,198725)
FP (A,199515,199516)
FP (lobe,200242,200246)
FP (A,201763,201764)
FP (A,202117,202118)
FP (R,203522,203523)
FP (A,203622,203623)
FP (F1,204770,204772)
FP (A,205087,205088)
FP (A,206482,206483)
FP (RT,207847,207849)
FP (endonuclease,208117,208129)
FP (Q,208508,208509)
FP (A,208863,208864)
FP (spp,209915,209918)
FP (R,214932,214933)
FP (R,214975,214976)
FP (carp,216501,216505)
FP (A,217701,217702)
FP (E2,218099,218101)
FP (protease,218233,218241)
FP (A,218409,218410)
FP (T,218942,218943)
FP (A,218995,218996)
FP (A,219401,219402)
FP (A,222634,222635)
FP (lobe,222930,222934)
FP (cart,225186,225190)
FP (mol,226375,226378)
FP (dream,226958,226963)
FP (R,228014,228015)
FP (R,228107,228108)
FP (A,228440,228441)
FP (R,230909,230910)
FP (A,230995,230996)
FP (glucagon,231453,231461)
FP (R,231859,231860)
FP (cis,231986,231989)
FP (A,232395,232396)
FP (A,233277,233278)
FP (R,235336,235337)
FP (A,235348,235349)
FP (AF,235533,235535)
FP (AF,235545,235547)
FP (AF,235567,235569)
FP (AF,235580,235582)
FP (A,240489,240490)
FP (A,240779,240780)
FP (F1,240797,240799)
FP (A,240843,240844)
FP (F1,240849,240851)
FP (E2,243174,243176)
FP (A,243439,243440)
FP (A,243535,243536)
FP (RAP,243845,243848)
FP (und,244225,244228)
FP (A,246466,246467)
FP (A,246618,246619)
FP (A,246958,246959)
FP (dream,247898,247903)
FP (dream,247984,247989)
FP (P2,248339,248341)
FP (P1,248486,248488)
FP (A,248639,248640)
FP (A,249584,249585)
FP (A,250715,250716)
FP (A,250844,250845)
FP (AP,254770,254772)
FP (A,256867,256868)
FP (A,257525,257526)
FP (fir,258086,258089)
FP (fir,258111,258114)
FP (ray,259809,259812)
FP (A,260388,260389)
FP (A,262382,262383)
FP (actin,263502,263507)
FP (dik,263851,263854)
FP (dik,263857,263860)
FP (A,264845,264846)
FP (SRF,265487,265490)
FP (A,267736,267737)
FP (k12,267825,267828)
FP (A,268303,268304)
FP (W,269230,269231)
FP (und,269540,269543)
FP (lobe,270282,270286)
FP (A,270460,270461)
FP (T,271510,271511)
FP (apex,274120,274124)
FP (A,275384,275385)
FP (A,276849,276850)
FP (CBF,278021,278024)
FP (HD,279522,279524)
FP (A,280812,280813)
FP (A,281915,281916)
FP (ligand,287256,287262)
FP (p53,287427,287430)
FP (A,287493,287494)
FP (neurotropin,288095,288106)
FP (A,288746,288747)
FP (A,289028,289029)
FP (mast,289632,289636)
FP (coma,290867,290871)
FP (F0,292071,292073)
FP (F1,292078,292080)
FP (A,293400,293401)
FP (D1,294486,294488)
FP (A,295184,295185)
FP (slug,295196,295200)
FP (PRC,295736,295739)
FP (PRC,295803,295806)
FP (A,298018,298019)
FP (apex,298409,298413)
FP (A,299215,299216)
FP (shot,299884,299888)
FP (A,300934,300935)
FP (MEK,300936,300939)
FP (A,302877,302878)
FP (LH,303075,303077)
FP (T,303632,303633)
FP (A,305522,305523)
FP (P2,309611,309613)
FP (A,311160,311161)
FP (A,312118,312119)
FP (T,313020,313021)
FP (STAT3,315534,315539)
FP (T,315663,315664)
FP (prn,315985,315988)
FP (W,319044,319045)
FP (OKT3,321585,321589)
FP (nts,325033,325036)
FP (cis,326290,326293)
FP (Z,326806,326807)
FP (Z,326829,326830)
FP (E2,331657,331659)
FP (myoglobin,332565,332574)
FP (cis,332967,332970)
FP (E2,333430,333432)
FP (A,334005,334006)
FP (A,334331,334332)
FP (A,336554,336555)
FP (dip,338006,338009)
FP (A,341761,341762)
FP (cava,343332,343336)
FP (calcitonin,345435,345445)
FP (A,345541,345542)
FP (PR,345714,345716)
FP (A,346983,346984)
FP (IF,347453,347455)
FP (A,348218,348219)
FP (T,349495,349496)
FP (ash,349962,349965)
FP (A,350282,350283)
FP (A,351353,351354)
FP (ANOVA,351507,351512)
FP (A,352003,352004)
FP (R1,352111,352113)
FP (R1,352228,352230)
FP (A,352286,352287)
FP (LPL,356604,356607)
FP (A,357723,357724)
FP (HML,358218,358221)
FP (A,359002,359003)
FP (E2,359541,359543)
FP (bis,360210,360213)
FP (insulin,362457,362464)
FP (A,363660,363661)
FP (Y,363937,363938)
FP (A,364004,364005)
FP (arrestin,364827,364835)
FP (A,365132,365133)
FP (R,365903,365904)
FP (R,365927,365928)
FP (W,366286,366287)
FP (A,366668,366669)
FP (A,368491,368492)
FP (sera,368698,368702)
FP (MPO,369519,369522)
FP (A,372804,372805)
FP (lobe,375327,375331)
FP (GAP,376405,376408)
FP (A,377635,377636)
FP (A,377951,377952)
FP (A,378760,378761)
FP (collagen,382055,382063)
FP (A,382606,382607)
FP (CRP,383474,383477)
FP (Z,385849,385850)
FP (A,388644,388645)
FP (A,390972,390973)
FP (lobe,391345,391349)
FP (A,391405,391406)
FP (A,393321,393322)
FP (A,393626,393627)
FP (glycoprotein,394072,394084)
FP (A,396964,396965)
FP (A,398518,398519)
FP (A,399817,399818)
FP (R,400786,400787)
FP (A,400790,400791)
FP (ups,401108,401111)
FP (A,401127,401128)
FP (A,402151,402152)
FP (A,405036,405037)
FP (hrs,405987,405990)
FP (hrs,406018,406021)
FP (shot,406784,406788)
FP (amyloidosis,406958,406969)
FP (beta2,407282,407287)
FP (A,408045,408046)
FP (hrs,410915,410918)
FP (A,411252,411253)
FP (bcr,412705,412708)
FP (A,415267,415268)
FP (A,416443,416444)
FP (hrs,416957,416960)
FP (A,419129,419130)
FP (A,420122,420123)
FP (TR,422207,422209)
FP (TR,422294,422296)
FP (A,427847,427848)
FP (A,429299,429300)
FP (ctf,429336,429339)
FP (RT,429989,429991)
FP (W,431199,431200)
FP (cytokine,431411,431419)
FP (cytokine,431424,431432)
FP (E1,432700,432702)
FP (E2,432722,432724)
FP (ERalpha,433326,433333)
FP (E2,433375,433377)
FP (A,434256,434257)
FP (P2,436304,436306)
FP (A,436583,436584)
FP (LHRH,436686,436690)
FP (A,436693,436694)
FP (A,438155,438156)
FP (T,441335,441336)
FP (A,442006,442007)
FP (A,442954,442955)
FP (bis,443350,443353)
FP (R2,443939,443941)
FP (PR,445123,445125)
FP (A,445737,445738)
FP (R,445903,445904)
FP (A,447525,447526)
FP (HD,449434,449436)
FP (E2,449788,449790)
FP (E2,450031,450033)
FP (T,450910,450911)
FP (phi,450914,450917)
FP (A,451399,451400)
FP (A,453923,453924)
FP (A,454083,454084)
FP (T,454458,454459)
FP (T,457307,457308)
FP (T,457339,457340)
FP (T,457371,457372)
FP (TR,457383,457385)
FP (CCK,458543,458546)
FP (A,460543,460544)
FP (T,460590,460591)
FP (T,460908,460909)
FP (endotoxin,464100,464109)
FP (T,464985,464986)
FP (T,465057,465058)
FP (A,468746,468747)
FP (tip,469637,469640)
FP (A,470614,470615)
FP (P2,472287,472289)
FP (insulin,473183,473190)
FP (T,473262,473263)
FP (T,473335,473336)
FP (P3,476597,476599)
FP (sera,477607,477611)
FP (trap,478264,478268)
FP (polymerase,480603,480613)
FP (RT,480631,480633)
FP (A,481224,481225)
FP (mm2,481641,481644)
FP (oxytocin,484430,484438)
FP (hemoglobin,485239,485249)
FP (A,488559,488560)
FP (RT,488882,488884)
FP (RT,489030,489032)
FP (T,490297,490298)
FP (W,490527,490528)
FP (W,490544,490545)
FP (W,490559,490560)
FP (W,490579,490580)
FP (A,490743,490744)
FP (A,491133,491134)
FP (T,492039,492040)
FP (T,492051,492052)
FP (A,493209,493210)
FP (R,493232,493233)
FP (T,493236,493237)
FP (A,493244,493245)
FP (A,494205,494206)
FP (T,495343,495344)
FP (A,495953,495954)
FP (A,496053,496054)
FP (A,497300,497301)
FP (CAP,497976,497979)
FP (kat,501230,501233)
FP (R,501478,501479)
FP (lobe,502550,502554)
FP (nip,502868,502871)
FP (A,503240,503241)
FP (Q,503480,503481)
FP (W,503828,503829)
FP (rev,505893,505896)
FP (mm2,506586,506589)
FP (A,506842,506843)
FP (E1,506990,506992)
FP (A,507035,507036)
FP (A,507635,507636)
FP (A,507927,507928)
FP (A,508504,508505)
FP (A,510373,510374)
FP (A,510505,510506)
FP (thyrotropin,510633,510644)
FP (A,510697,510698)
FP (F1,511226,511228)
FP (A,512232,512233)
FP (LDL,512910,512913)
FP (A,513071,513072)
FP (A,515777,515778)
FP (AFP,516844,516847)
FP (cis,517426,517429)
FP (cis,517504,517507)
FP (A,522198,522199)
FP (A,522511,522512)
FP (A,523216,523217)
FP (prune,524559,524564)
FP (A,529605,529606)
FP (A,529721,529722)
FP (Y,529769,529770)
FP (cytokine,531594,531602)
FP (A,533321,533322)
FP (A,533915,533916)
FP (A,534102,534103)
FP (A,534379,534380)
FP (E2,536246,536248)
FP (A,537335,537336)
FP (A,538814,538815)
FP (A,539584,539585)
FP (sera,539682,539686)
FP (tap,540899,540902)
FP (TCR,541050,541053)
FP (p47phox,541737,541744)
FP (L1,542063,542065)
FP (sap,542428,542431)
FP (sap,542514,542517)
FP (A,550633,550634)
FP (mal,551584,551587)
FP (T,552253,552254)
FP (p50,552623,552626)
FP (kit,554321,554324)
FP (A,555835,555836)
FP (spg,556094,556097)
FP (mdx,558764,558767)
FP (Q,558851,558852)
FP (PSA,560799,560802)
FP (A,561102,561103)
FP (A,562024,562025)
FP (A,563108,563109)
FP (T,564775,564776)
FP (T,564810,564811)
FP (tip,565451,565454)
FP (ALT,566305,566308)
FP (mm2,568539,568542)
FP (ferritin,568591,568599)
FP (RT,569392,569394)
FP (A,570881,570882)
FP (T,572190,572191)
FP (A,572493,572494)
FP (sera,573071,573075)
FP (mer,575035,575038)
FP (Q,576352,576353)
FP (Q,576425,576426)
FP (glycoprotein,577427,577439)
FP (Tat,577852,577855)
FP (IFN,577980,577983)
FP (E1,579585,579587)
FP (A,580342,580343)
FP (E1,581718,581720)
FP (L1,584624,584626)
FP (taps,585152,585156)
FP (A,585312,585313)
FP (A,585796,585797)
FP (glycoprotein,586101,586113)
FP (VP16,586402,586406)
FP (A,586911,586912)
FP (T,586915,586916)
FP (P3,587716,587718)
FP (P3,589398,589400)
FP (LDL,590791,590794)
FP (A,591424,591425)
FP (A,591774,591775)
FP (A,594162,594163)
FP (R2,594188,594190)
FP (PHA,594372,594375)
FP (A,595785,595786)
FP (A,596028,596029)
FP (ski,597120,597123)
FP (R1,598622,598624)
FP (R1,598680,598682)
FP (spp,598918,598921)
FP (A,599152,599153)
FP (albumin,601187,601194)
FP (T,603773,603774)
FP (A,604070,604071)
FP (lat,604380,604383)
FP (A,605507,605508)
FP (mast,605798,605802)
FP (W,606575,606576)
FP (Tax,607240,607243)
FP (ray,607521,607524)
FP (A,608540,608541)
FP (CRP,608743,608746)
FP (A,609290,609291)
FP (statin,609523,609529)
FP (A,609773,609774)
FP (A,611473,611474)
FP (T,612142,612143)
FP (A,612471,612472)
FP (R,615565,615566)
FP (R,615617,615618)
FP (kinase,616118,616124)
FP (W,620871,620872)
FP (trip,621102,621106)
FP (mical,621607,621612)
FP (A,622227,622228)
FP (A,622345,622346)
FP (A,622463,622464)
FP (R1,623441,623443)
FP (R1,623546,623548)
FP (P2,623708,623710)
FP (lit,624313,624316)
FP (lit,624365,624368)
FP (HA,624778,624780)
FP (A,624977,624978)
FP (A,625397,625398)
FP (R,627744,627745)
FP (R,627748,627749)
FP (lobe,628298,628302)
FP (lobe,628369,628373)
FP (A,628983,628984)
FP (T,629215,629216)
FP (T,629296,629297)
FP (cis,629788,629791)
FP (A,629987,629988)
FP (F1,630218,630220)
FP (amyloidosis,630703,630714)
FP (A,631801,631802)
FP (A,632035,632036)
FP (T,632039,632040)
FP (cis,633511,633514)
FP (A,634403,634404)
FP (P1,635645,635647)
FP (Q,637283,637284)
FP (T,638078,638079)
FP (A,638718,638719)
FP (A,639582,639583)
FP (tip,641899,641902)
FP (P1,642535,642537)
FP (R,642789,642790)
FP (W,645010,645011)
FP (A,646397,646398)
